,t_amb,t_amb,h_amb,h_amb,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1
datetime,1,2,1,2,1,2,3,4,5,6,7,8,9,10,11,12
2022-11-11,23.52,22.86,67.65,67.21,23.06,20.76,22.46,29.62,22.88,24.47,24.28,26.27,21.64,25.42,21.64,20.8
2022-11-11,22.805,22.92,68.095,69.34,23.0,19.515,22.505000000000003,29.48,23.35,24.15,25.09,26.61,23.175,25.840000000000003,22.005000000000003,21.615000000000002
2022-11-11,22.983333333333334,24.13,70.79333333333334,71.83666666666666,24.36,20.24,22.313333333333333,29.05333333333333,23.396666666666665,25.036666666666665,25.24,27.043333333333333,23.606666666666666,25.626666666666665,23.22,21.19333333333333
2022-11-11,24.155,24.2325,70.8875,71.095,24.395,21.240000000000002,21.6725,28.802500000000002,23.1475,24.205,25.215,27.81,24.2575,25.9225,24.697499999999998,22.0725
2022-11-11,24.1,25.362000000000002,70.08,70.3,24.706,21.328,22.602,28.95,23.607999999999997,24.424,25.31,27.915999999999997,23.918,25.924,24.936,23.15
2022-11-11,25.21666666666667,25.796666666666667,67.87166666666667,67.635,25.235,21.798333333333332,22.633333333333336,29.14833333333333,23.26,24.78333333333333,25.641666666666666,28.356666666666666,23.731666666666666,26.32166666666667,25.006666666666664,23.386666666666667
2022-11-11,25.96142857142857,27.118571428571425,64.71285714285715,64.94571428571429,25.61285714285714,21.610000000000003,22.92142857142857,29.117142857142856,23.155714285714286,25.2,26.181428571428572,28.33142857142857,23.37857142857143,26.40285714285714,25.14428571428571,23.608571428571427
2022-11-11,26.978749999999998,28.17875,62.83625,63.3025,25.55375,21.87875,22.9775,29.215,23.155,24.8475,26.01875,28.54375,23.51625,26.42125,25.603749999999998,24.07375
2022-11-11,27.47888888888889,29.05111111111111,60.96,61.67444444444445,25.811111111111114,21.69222222222222,23.02777777777778,29.213333333333335,22.984444444444442,25.02,26.18,28.63888888888889,23.603333333333335,26.502222222222223,25.51888888888889,24.183333333333334
2022-11-11,28.184000000000005,29.479000000000003,59.795,60.342,26.02,21.329,22.842000000000002,29.157999999999998,23.282999999999998,25.116,26.358999999999998,28.573,23.247,26.136000000000003,26.133999999999997,24.378
2022-11-11,28.734545454545454,29.85272727272727,59.026363636363634,59.26454545454545,25.886363636363637,21.493636363636366,23.0,29.170909090909092,23.594545454545457,25.29181818181818,26.39636363636364,28.234545454545454,23.07,26.070909090909087,25.87181818181818,24.24090909090909
2022-11-11,28.636666666666667,30.308333333333334,58.740833333333335,58.61833333333333,26.048333333333332,21.5825,23.045,29.33583333333333,23.7925,25.418333333333333,26.733333333333334,28.140833333333333,23.360833333333332,25.930833333333336,25.688333333333333,24.133333333333336
2022-11-11,29.00076923076923,30.433846153846154,58.29923076923077,58.12384615384615,26.14923076923077,21.756923076923076,23.076923076923077,29.346923076923076,23.75846153846154,25.204615384615384,27.145384615384614,28.30923076923077,23.33230769230769,26.024615384615384,25.787692307692307,24.286923076923078
2022-11-11,29.094285714285714,30.572142857142858,58.220000000000006,57.71071428571429,26.333571428571428,21.845,23.055714285714284,29.323571428571427,23.752142857142854,25.396428571428572,27.28642857142857,28.345,23.260714285714283,25.87357142857143,25.982857142857142,24.201428571428572
2022-11-11,28.85666666666667,30.494000000000003,58.27733333333333,57.544,26.303333333333335,21.83533333333333,23.172666666666665,29.298000000000002,23.794666666666668,25.44066666666667,27.245333333333335,28.305333333333333,23.076,25.968,25.911333333333335,23.986666666666668
2022-11-11,28.941875,30.29125,58.545625,57.555,26.225625,21.5775,23.133125,29.36125,24.17,25.515625,27.23375,28.284375,23.121875,26.0025,25.804375,24.0375
2022-11-11,28.747647058823528,29.994705882352942,58.978235294117646,57.98882352941176,26.390588235294118,21.497647058823528,23.098235294117647,29.44764705882353,24.425882352941176,25.666470588235292,27.143529411764707,28.48705882352941,22.96588235294118,26.128823529411765,25.83764705882353,24.10705882352941
2022-11-11,28.487222222222222,29.822777777777773,59.70388888888889,58.40833333333333,26.430555555555557,21.564444444444444,23.135,29.519444444444446,24.316111111111113,25.625555555555554,27.15222222222222,28.46833333333333,22.961666666666666,26.165000000000003,26.07166666666667,24.35111111111111
2022-11-11,28.239473684210523,29.634210526315787,60.10368421052632,58.92052631578947,26.46,21.646842105263158,23.169473684210526,29.50315789473684,24.544736842105266,25.726315789473684,27.243684210526315,28.575263157894735,23.026842105263157,26.09631578947368,26.22947368421053,24.38421052631579
2022-11-11,27.8125,29.2235,60.794500000000006,59.43300000000001,26.5845,21.753,23.221,29.6565,24.535,25.8945,27.3865,28.5125,23.186500000000002,26.081,26.2255,24.398
2022-11-11,27.53238095238095,29.056190476190473,61.3852380952381,60.070952380952384,26.608571428571427,21.72190476190476,23.27190476190476,29.743809523809524,24.711904761904766,26.017142857142858,27.459999999999997,28.51047619047619,23.432380952380953,26.166666666666668,26.34904761904762,24.314761904761905
2022-11-11,27.25772727272727,28.914545454545454,62.115,60.60090909090909,26.463181818181816,21.86318181818182,23.500454545454545,29.890454545454546,24.799545454545456,26.071363636363632,27.654999999999998,28.39818181818182,23.614545454545453,26.104999999999997,26.38272727272727,24.447727272727274
2022-11-11,27.047391304347826,28.666521739130438,62.667391304347824,61.28869565217392,26.434782608695652,21.907391304347826,23.546956521739133,29.79478260869565,24.87086956521739,25.86913043478261,27.77608695652174,28.442608695652172,23.502173913043475,26.065652173913044,26.30652173913043,24.44
