T masa,,T Cuarto,,H Cuarto,
X,Y,X,Y,X,Y
2.265256306,34.28571429,2.271765663,31.79723502,1.992346833,67.66743649
2.408462164,36.359447,2.316094998,30.22860139,2.00982547,65.63077788
2.890154597,46.31336406,2.343368592,29.03225806,2.044366887,62.58964749
2.935720098,47.00460829,2.362896664,28.20276498,2.057943258,59.12240185
3.456468674,46.03686636,2.378192818,27.05872324,2.064702679,55.19630485
3.547599675,46.03686636,2.421480879,26.5437788,2.074120693,49.14541657
3.625711961,46.86635945,2.482190551,25.72923548,2.104312886,46.18937644
3.716842962,47.41935484,2.51261188,25.16129032,2.120372085,42.99176858
3.794955248,47.55760369,2.54085043,24.2078651,2.200888578,42.41595331
3.847030106,46.58986175,2.597233523,24.33179724,2.20843801,45.26558891
3.886086249,45.48387097,2.65535,24.0496002,2.221235847,48.49884527
3.970707893,44.93087558,2.72091131,23.77880184,2.233853433,54.5034642
4.289666395,43.13364055,2.780002241,23.53656388,2.255567821,60.62632748
4.34825061,43.82488479,2.844589097,23.91705069,2.306759939,64.46413409
4.413344182,44.79262673,2.900259692,24.60427992,2.317595148,66.97459584
4.471928397,45.89861751,2.922701383,26.26728111,2.327853402,69.1341912
4.524003255,47.00460829,2.955248169,27.51152074,2.36932725,71.59353349
4.576078112,47.83410138,3.020589784,28.52095558,2.408278003,72.42630789
4.62815297,49.07834101,3.033360456,29.7235023,2.460804589,75.00968041
4.699755899,50.1843318,3.034101041,30.74257016,2.492513941,77.59815242
4.764849471,49.63133641,3.039869813,32.21198157,2.553403687,79.34246979
4.797396257,48.80184332,3.059397884,33.31797235,2.59638371,80.60046189
4.882017901,47.41935484,3.07618449,34.02356577,2.65332148,81.629351
4.921074044,46.4516129,3.09194467,35.11520737,2.693824518,82.44803695
4.979658259,45.62211982,3.117982099,36.22119816,2.73930791,83.1408776
5.031733116,44.65437788,3.162177795,36.76473255,2.780027114,83.28072492
5.168429618,43.96313364,3.215622457,36.9124424,2.823830714,83.60277136
5.227013832,43.96313364,3.250910709,36.47526146,2.874646221,83.15267848
0.006509357,24.19354839,3.267697315,35.80645161,2.908578832,80.60046189
0.0455655,25.02304147,3.287225386,34.70046083,2.921737171,78.29099307
0.078112286,25.71428571,3.300244101,33.4562212,2.937439679,75.18828394
0.136696501,26.12903226,3.303428848,32.02448171,2.954663062,72.05542725
0.182262002,26.12903226,3.319772172,30.82949309,3.004777152,71.01236326
0.37103336,26.68202765,3.332790887,29.44700461,3.019944047,68.36027714
0.416598861,26.8202765,3.352318959,28.47926267,3.033864277,65.71399431
0.318958503,26.26728111,3.365337673,27.64976959,3.046305789,63.04849885
0.911310008,27.51152074,3.37822646,26.84591646,3.0725023,60.27713626
1.959316517,29.7235023,3.410903173,26.5437788,3.082359983,56.61945657
2.649308381,38.57142857,3.478907117,26.07563674,3.146297586,53.72620189
5.331163548,45.48387097,3.515052889,25.43778802,3.202974145,54.27251732
5.48738812,48.94009217,3.548158362,24.52564916,3.255811337,56.03242739
5.415785191,47.41935484,3.599674532,24.60829493,3.267729398,58.66050808
5.60455655,49.76958525,3.653024533,24.28886795,3.280990735,61.7135587
5.747762408,47.97235023,3.710333605,23.91705069,3.286881091,64.20323326
5.982099268,44.37788018,3.74799767,22.97970222,3.313673184,67.07377064
6.027664768,43.82488479,3.807973963,23.3640553,3.331546984,70.03996626
6.053702197,43.13364055,3.854666832,23.97127404,3.357900073,72.28637413
6.20992677,42.30414747,3.873067535,25.29953917,3.410651021,73.85061964
6.268510985,42.71889401,3.899104963,26.68202765,3.442227605,75.75057737
6.320585842,43.5483871,3.914124558,27.5612615,3.492995832,77.2250122
6.405207486,45.76036866,3.957689178,28.61751152,3.539608329,78.52193995
6.431244915,46.7281106,3.995361596,29.79115214,3.593446532,79.50208757
6.463791701,47.83410138,4.003254679,31.52073733,3.643553202,80.36951501
6.509357201,48.66359447,4.016273393,33.1797235,3.698783488,80.30567461
6.541903987,49.49308756,4.029292107,34.70046083,3.754092266,80.83140878
6.600488202,50.04608295,4.080860249,35.95897606,3.80413201,80.93143128
6.652563059,50.1843318,4.146382581,37.0386876,3.876006287,80.65482776
6.672091131,49.21658986,4.192026037,36.08294931,3.884925806,76.09207451
6.678600488,48.11059908,4.218063466,34.97695853,3.923693648,73.21016166
6.685109845,46.7281106,4.237591538,34.00921659,3.950250662,64.8960739
6.691619203,45.20737327,4.26123774,32.97104009,4.008216452,73.67205543
6.704637917,44.23963134,4.289666395,31.93548387,4.021449896,70.20785219
6.711147274,41.47465438,4.306649748,30.0104071,4.028164254,66.97459584
6.769731489,38.15668203,4.335231896,29.17050691,4.041367656,63.97228637
6.776240846,39.8156682,4.372724809,28.11122359,4.056277523,60.91708488
6.776240846,41.47465438,4.426362897,27.92626728,4.074308568,57.50577367
6.925956062,41.75115207,4.477789742,27.3632861,4.119897107,56.58198614
7.017087063,40.64516129,4.504475183,26.68202765,4.170186396,57.1457252
6.847843775,43.2718894,4.524534332,25.66409807,4.204269701,59.35334873
,,4.576078112,25.71428571,4.241352068,61.06824375
,,4.635802439,25.26953006,4.249527779,63.51039261
,,4.712774614,25.16129032,4.273552894,66.81886573
,,4.750066994,24.58221805,4.298264367,69.87398512
,,4.797396257,24.88479263,4.327005764,72.28637413
,,4.869332517,25.45123324,4.352916878,73.90300231
,,4.921074044,26.95852535,4.386829081,74.85816665
,,4.947512948,28.31591906,4.430815449,76.21247113
,,4.979658259,29.86175115,4.462240465,77.48398507
,,5.012205045,31.24423963,4.502209955,78.52193995
,,5.039584679,32.13268914,4.56111175,79.49366855
,,5.122864117,31.93548387,4.606139807,80.60046189
,,5.152504244,30.33527415,4.666381007,81.33812157
,,5.174938975,29.03225806,4.716603766,82.21709007
,,5.215515267,27.52391346,4.771697479,82.45664874
,,5.253051261,26.68202765,4.814149721,82.44803695
,,5.292823629,25.71501007,4.869405398,82.7123661
,,5.337672905,25.43778802,4.905326799,80.60046189
,,5.387631247,24.97933166,4.91850016,78.06004619
,,5.428803906,24.60829493,4.94468165,75.51963048
,,5.474887816,24.01200364,4.996819317,73.90300231
,,5.532953621,24.05529954,5.026330535,71.06622782
,,5.589471992,23.93211096,5.055656321,69.28406467
,,5.65012205,24.05529954,5.068769598,67.66743649
,,5.714124233,23.72454665,5.082543406,66.07477885
,,5.76729048,23.91705069,5.127486434,64.8960739
,,5.838776475,23.88511527,5.166330573,67.66743649
,,5.88445891,24.60829493,5.17253422,72.28637413
,,5.917005696,25.71428571,5.198430312,74.13394919
,,5.948646239,26.98611303,5.215578418,75.92236933
,,5.97558991,28.34101382,5.250207477,78.06004619
,,6.001627339,29.86175115,5.29404449,79.51506588
,,6.021155411,30.96774194,5.315022813,81.52424942
,,6.039224585,31.86651319,5.348396058,83.50043562
,,6.053702197,32.76497696,5.405944535,83.60277136
,,6.080090429,33.43884916,5.45264954,83.7767896
,,6.105777055,34.70046083,5.503460448,84.29561201
,,6.138323841,34.14746544,5.559784459,84.83545192
,,6.173008858,32.91966429,5.607420342,85.91224018
,,6.190398698,31.38248848,5.666560758,86.46582124
,,6.216436127,30.41474654,5.71144032,86.60508083
,,6.235964199,29.30875576,5.765947267,86.16556571
,,6.275020342,28.20276498,5.822009426,86.60508083
,,6.312728953,26.64051752,5.879289224,87.09312427
,,6.359641985,26.12903226,5.913096378,86.14318707
,,6.422673816,25.71567997,5.919690569,84.75750577
,,6.463791701,25.29953917,5.935732982,83.0155871
,,6.501401548,24.29014394,5.945977206,80.60046189
,,6.554922701,24.19354839,5.977223797,78.50747466
,,6.615455826,23.91252943,5.998325166,75.75057737
,,6.685109845,23.91705069,6.018077696,72.05542725
,,6.740108067,23.69321619,6.037875289,67.66743649
,,6.789259561,23.91705069,6.057672882,63.27944573
,,6.864760309,23.95560881,6.068652164,59.01757686
,,6.932465419,24.05529954,6.103381588,60.50808314
,,6.98941255,24.33549066,6.129375465,62.39200912
,,7.056143206,25.29953917,6.161662818,64.43418014
,,7.114064791,25.7688593,6.211513268,65.64818236
,,7.173311635,25.99078341,6.245659913,68.48781651
,,7.229727689,25.61955007,6.281395279,71.45178465
,,7.251423922,24.74654378,6.297617304,74.13394919
,,7.276472279,23.86945004,6.343313013,76.95163945
,,7.323026851,23.50230415,6.381839689,79.2147806
,,7.392135176,23.28200388,6.424969474,81.7629999
,,7.459723352,23.22580645,6.472641244,83.1408776
,,7.516787418,22.74938602,6.524952439,83.04787025
,,7.563873068,22.81105991,6.56362305,84.29561201
,,7.641439659,22.38125309,6.640925179,86.0448272
,,7.707078926,22.39631336,6.700028164,87.0669746
,,7.765692374,22.15965534,6.752030643,87.52886836
,,7.83726607,22.67281106,6.823545316,87.99076212
,,7.885550299,23.44518337,6.903050198,88.35769569
,,7.921887714,24.33179724,6.947212678,86.60508083
,,7.9544345,25.43778802,6.992741133,86.60508083
,,7.98039787,26.00775408,7.047803709,87.08384616
,,8.044162286,26.66961009,7.090422276,84.75750577
,,,,7.116588746,82.44803695
,,,,7.155748324,80.36951501
,,,,7.214179763,81.98614319
,,,,7.265849969,83.36511273
,,,,7.298537336,84.98845266
,,,,7.356953754,86.83602771
,,,,7.392247016,87.71510098
,,,,7.441416474,88.22170901
,,,,7.498620874,88.94359088
,,,,7.551970559,88.45265589
,,,,7.602194066,87.40395553
,,,,7.662614769,87.29792148
,,,,7.710466048,87.6508415
,,,,7.760145703,87.75981524
,,,,7.797023053,87.11786588
,,,,7.825111249,88.91454965
,,,,7.86100419,90.35399179
,,,,7.883647834,88.91454965
,,,,7.913871665,87.69620113
,,,,7.935875627,85.91224018
,,,,7.948973882,84.52655889
,,,,7.952493776,83.10281196
,,,,7.968696371,81.29330254
,,,,7.981809647,79.67667436
,,,,7.983508207,77.63316784
